quantile_value,income
0.0433043304,156000.0000000000
0.0434043404,156000.0000000000
0.0435043504,156000.0000000000
0.0436043604,156000.0000000000
0.0437043704,156000.0000000000
0.0438043804,156000.0000000000
0.0439043904,156000.0000000000
0.0440044004,156000.0000000000
0.0441044104,156000.0000000000
0.0442044204,156000.0000000000
0.0443044304,156000.0000000000
0.0444044404,156000.0000000000
0.0445044504,156000.0000000000
0.0446044604,156000.0000000000
0.0447044704,156000.0000000000
0.0448044804,156000.0000000000
0.0449044904,156000.0000000000
0.0450045005,156000.0000000000
0.0451045105,156000.0000000000
0.0452045205,156000.0000000000
0.0453045305,156000.0000000000
0.0454045405,156000.0000000000
0.0455045505,156000.0000000000
0.0456045605,156000.0000000000
0.0457045705,156000.0000000000
0.0458045805,156000.0000000000
0.0459045905,156000.0000000000
0.0460046005,156000.0000000000
0.0461046105,156000.0000000000
0.0462046205,156000.0000000000
0.0463046305,156000.0000000000
0.0464046405,156000.0000000000
0.0465046505,156000.0000000000
0.0466046605,156000.0000000000
0.0467046705,156000.0000000000
0.0468046805,156000.0000000000
0.0469046905,156000.0000000000
0.0470047005,156000.0000000000
0.0471047105,156000.0000000000
0.0472047205,156000.0000000000
0.0473047305,156000.0000000000
0.0474047405,156000.0000000000
0.0475047505,156000.0000000000
0.0476047605,156000.0000000000
0.0477047705,156000.0000000000
0.0478047805,156000.0000000000
0.0479047905,156000.0000000000
0.0480048005,156000.0000000000
0.0481048105,156000.0000000000
0.0482048205,156000.0000000000
0.0483048305,156000.0000000000
0.0484048405,156000.0000000000
0.0485048505,156000.0000000000
0.0486048605,156000.0000000000
0.0487048705,156000.0000000000
0.0488048805,156000.0000000000
0.0489048905,156000.0000000000
0.0490049005,156000.0000000000
0.0491049105,156000.0000000000
0.0492049205,156000.0000000000
0.0493049305,156000.0000000000
0.0494049405,156000.0000000000
0.0495049505,156000.0000000000
0.0496049605,156000.0000000000
0.0497049705,156000.0000000000
0.0498049805,156000.0000000000
0.0499049905,156000.0000000000
0.0500050005,156000.0000000000
0.0501050105,156000.0000000000
0.0502050205,156000.0000000000
0.0503050305,156000.0000000000
0.0504050405,156000.0000000000
0.0505050505,156000.0000000000
0.0506050605,156000.0000000000
0.0507050705,156000.0000000000
0.0508050805,156000.0000000000
0.0509050905,156153.2001771303
0.0510051005,156661.2597575967
0.0511051105,157423.0931235139
0.0512051205,158332.7682430900
0.0513051305,159284.3530845334
0.0514051405,160171.9156160525
0.0515051505,160889.5238058555
0.0516051605,161331.2456221508
0.0517051705,161484.3487440961
0.0518051805,161602.7759986718
0.0519051905,161708.3160352126
0.0520052005,161799.6610508571
0.0521052105,161875.5032427435
0.0522052205,161934.5348080101
0.0523052305,161975.4479437955
0.0524052405,161996.9348472380
0.0525052505,162000.0000000000
0.0526052605,162000.0000000000
0.0527052705,162000.0000000000
